NCT Number,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Phases,Enrollment
NCT03984409,A Dietary Source of Potassium Citrate to Resolve Hypocitraturia and Aciduria in Patients With Kidney Stones,COMPLETED,"Patients with nephrolithiasis and evidence of hypocitraturia or aciduria who would otherwise be started on potassium citrate, can achieve similar urine alkalization with 500-1000 mL of daily low calorie orange juice consumption.",NO,Kidney Calculi,DIETARY_SUPPLEMENT: Kroger low calorie orange juice beverage,"Urine alkalization from Kroger low calorie orange juice beverage, The primary endpoint of interest will be the changes in urinary citrate while consuming Kroger low calorie orange juice beverage compared to potassium citrate therapy., 9 weeks from enrollment|Urine alkalization from Kroger low calorie orange juice beverage, The primary endpoint of interest will be the changes in urinary pH while consuming Kroger low calorie orange juice beverage compared to potassium citrate therapy., 9 weeks from enrollment",,NA,22
NCT07286071,Safety and Efficacy of Traditional Versus Flexible and Navigable Suction Sheath in Retrograde Intra-Renal Stone Surgery,COMPLETED,"This study compares two techniques used during RIRS for the treatment of kidney stones measuring up to 20 mm. During RIRS, surgeons often use a device called a UAS to help pass instruments into the urinary system and to assist with the removal of stone fragments. A traditional UAS allows irrigation fluid and small fragments to flow out passively. A newer type, known as a suction UAS, applies controlled negative pressure to help clear stone fragments more effectively and may reduce pressure inside the kidney during the procedure.

The purpose of this study is to determine whether the suction UAS offers better clinical outcomes than the traditional UAS. The main outcomes assessed include the SFR, the duration of surgery, and complications after the procedure such as fever, sepsis, urinary infection, calyceal injury, or ureteral injury.

In this randomized study, adult patients undergoing RIRS for a single renal stone were assigned to either the suction UAS or the traditional UAS. All patients were followed after surgery to assess stone clearance and any complications. The results of this study aim to provide evidence on whether suction UAS improves safety or effectiveness in RIRS compared with the traditional approach.",NO,Urolithiasis|Kidney Calculi|Nephrolithiasis,PROCEDURE: Retrograde intrarenal surgery using a ureteral access sheath with suction|PROCEDURE: Retrograde intrarenal surgery using a traditional ureteral access sheath,"Stone-free rate, The stone-free rate represents the proportion of participants who show no residual stone fragments or only clinically insignificant small fragments on postoperative imaging. Imaging is performed using non-contrast computed tomography. Findings are classified into four categories based on fragment size: complete clearance, fragments up to two millimeters, fragments between two point one and four millimeters, and fragments larger than four millimeters. The outcome is expressed as the percentage of participants achieving complete clearance or clinically insignificant fragments., One month after surgery","Duration of surgery, Total time required to complete the surgical procedure, measured from the insertion of the ureteroscope until placement of the ureteral stent., During surgery|Readmission after surgery, Number of participants requiring hospital readmission for pain, infection, or any complication related to the surgery., Within one month after surgery|Need for an additional procedure, Proportion of participants requiring a second surgical intervention to remove remaining stone material., Within three months after surgery|Urinary infection after surgery, Occurrence of laboratory-confirmed urinary infection requiring medical treatment, classified using the Clavien-Dindo system., Within one month after surgery|Systemic infection after surgery, Occurrence of systemic infection requiring medical intervention, including antibiotic therapy or hospitalization, assessed using the Clavien-Dindo classification., Within one month after surgery",NA,140
NCT05725122,Stone Clearance in Patients With Upper Ureteric Stones Using Extracorporeal Shock Wave Lithotripsy Compared With Extracorporeal Shock Wave Lithotripsy Combined With Tamsulosin Therapy,COMPLETED,"Extracorporeal shock wave lithotripsy (ESWL) is the least invasive and effective treatment for upper ureteric stones with a stone clearance rate of 60-90%. Tamsulosin is an alpha-blocker widely used in urological practice to relax smooth muscle of the prostate and bladder neck. Its role as part of medical expulsion therapy for the treatment of patients with kidney and ureteric stones has proved to be of considerable success. However, its role in clearing upper ureteric stones as an adjunct to ESWL is controversial. Therefore, this study will be conducted to evaluate its role in stone clearance along with extracorporeal shock wave lithotripsy in patients with upper ureteric stones",NO,Renal Stone,PROCEDURE: Extracorporeal shock wave lithotripsy|PROCEDURE: Extracorporeal Shock Wave Lithotripsy combined with Tamsulosin Therapy.,"stone clearance, Number of patients cleared from ureteric stones, 4 weeks",,NA,82
NCT05697250,High Versus Low Power Settings During Ureteroscopic Laser Lithotripsy,RECRUITING,"The primary aim of the study is to compare the operative times following ureteroscopic lithotripsy for renal stones with Thulium Fiber Laser using low and high power settings.

Secondary aims are to compare the results of low and high power settings in terms of stone free rates, laser time, laser activation patterns, intraoperative and postoperative complications.

Patients ≥ 18 years with renal stones (8-25 mm) scheduled for ureteroscopic lithotripsy at the Day Surgery Clinic at Haukeland University Hospital in Bergen, Norway, are eligible for inclusion in the study. After written consent and inclusion, patients are randomised to laser lithotripsy using either low power settings (Group 1: 4-6 Watt, short pulse mode) or high power settings (Group 2: 16-18 Watt, short pulse mode). The ureteroscopic procedures are performed in general anaesthesia using a standardised technique. All patients are followed up with a low dose CT scan 3 months post endoscopically to assess stone free status as well as a consultation at the outpatient clinic.

Results and data for the two randomisation groups are compared according to the aims of the study.",NO,Renal Stone,OTHER: Laser power settings (Thulium Fiber Laser),"Operative time, Surgical time in minutes, counted from start of the procedure with insertion of the cystoscope until emptying the bladder in the end., During surgery (approximately 1 hour), registered immediately after surgery","Stone free rate, Assessment of stone free status (or the presence of residual fragments) on low dose CT 3 months post endoscopically., 3 months post endoscopically|Laser activation patterns - duration, Duration of laser activation periods during laser lithotripsy in seconds, During surgery (approximately 1 hour), registered immediately after surgery|Laser activation patterns - number, Number of laser activation periods during laser lithotripsy, During surgery (approximately 1 hour), registered immediately after surgery|Intraoperative complications, Complications occurred during the endoscopic procedure (bleeding, perforation, avulsion, mucosal abrasion, blurred vision), During surgery (approximately 1 hour), registered immediately after surgery|Post operative complications, Complications occurred after the endoscopic procedure (up to 3 months post endoscopically)., After surgery until 3 months post endoscopically.",NA,150
NCT03855787,Ureteral Stent Placement After Ureteroscopy for Renal Stones: A Randomized Controlled Trial,COMPLETED,The rationale for this study is to determine if there is a difference in complications among patients undergoing ureteroscopy for renal stones who receive a stent compared to not receiving a stent postoperatively.,NO,Kidney Calculi,PROCEDURE: Ureteroscopy,"Total number of complications, Total number of complications - Defined as ER visits related to procedure, unanticipated provider visit, and hospitalization, 30 days after ureteroscopy","PROMIS (Patient-Reported Outcomes Measurement Information System) form 6a, This survey assesses self-reported consequences of pain on relevant aspects of one's life, including engagement with social, cognitive, emotional, physical, and recreational activities. There are 6 questions on the survey. The survey score uses at T-score metric with a mean of 50 and a standard deviation of 10 in a referent population. A higher score denotes greater pain interference in one's life., baseline to 5-10 days after ureteroscopy|WISQOL (Wisconsin Stone Quality of Life Questionnaire), This is a disease specific quality-of-life instrument designed to assess the impact on patients of stones in the urinary tract. The survey is a 28-item instrument with a 5-point LIkert scale for each item. There are a total of 140 points total, and a difference of 10 points can be considered clinically significant., baseline to 5-10 days after ureteroscopy|Cumulative opiate morphine equivalent dosing (MED), This will be the calculated morphine equivalent dosage of all opiate medications that are prescribed after surgery to follow-up at 5-10 days., baseline to 5-10 days after ureteroscopy|% return to work, This is the number of participants that have returned to work at the time of follow-up at 5-10 days divided by the total participants in the group., 5-10 days after ureteroscopy|Number of participants with symptomatic urinary tract infection (UTI), This will be defined as a urine culture positivity (50,000 cfu/mL or more) with urinary symptoms., Baseline 5-10 days after ureteroscopy|Number of participants with abnormal imaging findings, Hydronephrosis, hematoma, urinoma on routine postop imaging, 4-8 weeks after ureteroscopy",NA,103
NCT05417568,Oxalate-Driven Host Responses in Kidney Stone Disease,RECRUITING,"This study is looking to understand the role of oxalate on kidney stone development and immunity. This study will enroll healthy participants and participants with calcium oxalate kidney stones (CaOx KS). Participants will be in this study for about 3 weeks, consume controlled diets, and provide blood and urine specimens.",NO,Kidney Stones,DIETARY_SUPPLEMENT: Low Oxalate Diet|DIETARY_SUPPLEMENT: High Oxalate Diet,"Change in Urinary Oxalate, Twenty-four hour urinary oxalate will be reported as mg/day., Days 3-4 and 13-14|Change in Nanocystalluria, Nanocrystalluria will be reported as particles/ml., Days 3-4 and 13-14|Monocyte Cellular Bioenergetics and Mitochondrial Function, Cellular bioenergetics and mitochondrial function will be reported as oxygen consumption rate (pmol/min/10,000 cells)., Day 1|Monocyte Cellular Bioenergetics and Mitochondrial Function, Cellular bioenergetics and mitochondrial function will be reported as oxygen consumption rate (pmol/min/10,000 cells)., Day 4|Monocyte Cellular Bioenergetics and Mitochondrial Function, Cellular bioenergetics and mitochondrial function will be reported as oxygen consumption rate (pmol/min/10,000 cells)., Day 11|Monocyte Cellular Bioenergetics and Mitochondrial Function, Cellular bioenergetics and mitochondrial function will be reported as oxygen consumption rate (pmol/min/10,000 cells)., Day 14|Monocyte Subtypes, Monocyte subtypes will be determined using flow cytometry (mean fluorescence intensity)., Day 1|Monocyte Subtypes, Monocyte subtypes will be determined using flow cytometry (mean fluorescence intensity)., Day 4|Monocyte Subtypes, Monocyte subtypes will be determined using flow cytometry (mean fluorescence intensity)., Day 11|Monocyte Subtypes, Monocyte subtypes will be determined using flow cytometry (mean fluorescence intensity)., Day 14|Monocyte Transcriptomics, Monocyte transcriptomics will be reported as gene expression (mRNA levels), Day 1|Monocyte Transcriptomics, Monocyte transcriptomics will be reported as gene expression (mRNA levels), Day 4|Monocyte Transcriptomics, Monocyte transcriptomics will be reported as gene expression (mRNA levels), Day 11|Monocyte Transcriptomics, Monocyte transcriptomics will be reported as gene expression (mRNA levels), Day 14",,NA,88
NCT05516472,Fecal Microbiota Transplantation in Kidney Stone Patients,RECRUITING,The purpose of this study is to measure the impact of Microbial Transplant Therapy (MTT) on 24-hour urine parameters in recurrent hypercalciuric and hyperoxaluric kidney stone formers.,NO,Kidney Stones,DRUG: Microbial Transplant Therapy|DRUG: Placebo,"Proportion of participants with an adverse event, Baseline to day 30 (plus or minus 3 days) after fecal transplant|Changes in 24 hour urinary oxalate concentration, Baseline to weeks 1, 3, and 5|Changes in 24 hour urinary calcium concentration, Baseline to week 1, 3, and 5","Metagenomic changes to subject microbiota pre-MTT, Prior to fecal transplant (baseline)|Metagenomic changes to subject microbiota post-MTT, weeks 4 and 5 after MTT",EARLY_PHASE1,36
NCT07159035,Flexible Ureteroscopy With a Flexible and Navigable Suction Ureteral Access Sheath Versus Mini-Percutaneous Nephrolithotomy for 1-2 cm Lower Pole Kidney Stones,RECRUITING,"This study, known as the FLAME Trial (Flexible ureteroscopy for Lower pole stones And Mini-pErcutaneous nephrolithotomy), is an international, multicenter, randomized, non-inferiority trial. It aims to compare the effectiveness and safety of flexible ureteroscopy using a flexible and navigable suction ureteral access sheath (FANS) versus mini-percutaneous nephrolithotomy (mini-PCNL) in the treatment of 1-2 cm lower pole kidney stones.

A total of 640 eligible adult patients will be enrolled across 20 high-volume urology centers in China, Russia, Turkey, and India. Participants will be randomly assigned to undergo either FANS-assisted flexible ureteroscopy or mini-PCNL. The primary outcome is the immediate stone-free rate (SFR) assessed by non-contrast CT within 72 hours after surgery. Secondary outcomes include SFR at 1 month, operative time, pain score, length of hospital stay, complication rates, and changes in health-related quality of life.

The goal of this trial is to determine whether the less invasive FANS-assisted approach is non-inferior to mini-PCNL in terms of efficacy, while potentially offering advantages in postoperative recovery and safety.",NO,Kidney Stones,PROCEDURE: Flexible ureteroscopy with FANS|PROCEDURE: Mini-percutaneous nephrolithotomy (mini-PCNL),"Immediate Stone-Free Rate (SFR), Stone-free status will be evaluated using non-contrast-enhanced computed tomography (NCCT) performed within 72 hours after surgery. Stone-free is defined as the absence of residual stone fragments or presence of clinically insignificant fragments ≤2 mm., 72 hours after surgery","Final Stone-Free Rate (SFR) at 1 Month, Assessed by low-dose CT scan. Patients with no residual stones or with residual fragments ≤2 mm are defined as stone-free., 1 month after surgery|Operative Time, For the FANS-fURS group, operative time is defined as the duration from insertion of the endoscope into the urethra to completion of stent placement.

For the mini-PCNL group, it is defined as the time from retrograde placement of the ureteric catheter to nephrostomy tube placement or percutaneous access removal., Intraoperative|Postoperative Pain Level, Evaluated using the 10-point Visual Analog Scale (VAS), where 0 indicates no pain and 10 indicates worst pain., Within 24 hours after surgery.|Length of Hospital Stay, From surgery to discharge., From the day of surgery until the day of discharge, assessed up to 30 days postoperatively.|Complication Rate Within 1 Month, All postoperative complications will be recorded and graded using the Clavien-Dindo classification system., 1 month after surgery.|Change in Quality of Life Score, Assessed using the Wisconsin Stone Quality of Life (WISQOL) questionnaire before surgery and at 1-month follow-up., Baseline and 1 month after surgery.",NA,640
NCT04869969,Supine Percutaneous Nephrolithotomy,COMPLETED,"there is an increased incidence of renal stones, especially in the pediatric age group. the percutaneous approach in the pediatric age took a long time till it again accepted among surgeons worldwide. the prone position is the preferred approach to perform percutaneous nephrolithotomy in the pediatric age group. this study aims to compare supine versus prone position percutaneous nephrolithotomy in the pediatric age group.",NO,Renal Stone,PROCEDURE: percutaneous nephrolithotomy (supine position)|PROCEDURE: percutaneous nephrolithotomy ( prone position),"stone free rate, evaluation of our patients after surgery with Xray or CT to detect residual stones, first day postoperative","Fluoroscopy time during the procedure in minutes, time of fluoroscopy exposure in minutes intraoperative, time of radiational exposure during the surgery. operative finding only, intraoperative finding in minutes,|operative time of the procedure in minutes, time from patient positioning till the end of the procedure, operative finding only, intraoperative finding in minutes,|rate of Hemoglobin drop, change in the perioperative hemoglobin level, day 1 post operative|hospital stay, days of hospital stay after the surgery, first 2 days post surgery|incidence of urinary tract infection, presence of manifested urinary tract infection in our patient, first 7 days post surgery|urine leakage, urine leakage from the percutaneous renal tract, first 3 days postoperative|irrigation fluid usage, amount of irrigation fluid used during the surgery in liters, intraoperative finding|postoperative fever, incidence of postoperative fever more than 38 c, first 2 days post surgery|need for DJ application, the need for DJ application intraoperative due to rough manipulation, bleeding or residual stones, intraoperative finding|incidence of intraoperative colonic injury, the accident injury to adjacent colon, intraoperative finding",PHASE2|PHASE3,70
NCT02373384,The Predictors of Successful Oral Dissolution Therapy in Radiolucent Renal Stones; A Prospective Evaluation,COMPLETED,The aim of the study is to evaluate the predictors of success of oral dissolution therapy in radiolucent renal stones in a large series of patients from a tertiary referral center in order to define the optimum case scenarios where oral dissolution therapy could be implemented.,NO,Urolithiasis|Renal Stones,"DRUG: Oral alkalinization (Potassium citrate, Allopurinol)|BEHAVIORAL: Life style modification|DIETARY_SUPPLEMENT: Dietary recommendations (decrease purine rich diet as red meat and fish, increase vegetables)","The primary endpoint of this study will be change in stone surface area after 3 months of the determined protocol, The stone surface area will be measured using the formula; Surface area = length X width X 0.25 X (22/7) Comparison of the stone surface area in relation to the initial surface area will be done., participants will be followed for the duration of medical treatment which is specified to be 3 months","Assessment of the predictors of response (more than 50% reduction in the surface area of the stone) to medical treatment, The percent reduction of stone surface area will be calculated using the formula:

Surface area = length X width X 0.25 X (22/7)

Categorization of the patients into three groups will be done:

* Patients who achieved 50% or more reduction in the stone surface area will be considered responsive and would be counseled for another 3 months therapy.
* Patients with partial response, less than 50% reduction in stone surface area will be counseled for auxiliary procedure based on stone criteria e.g. ESWL.
* Patients with no response/ serious renal infections or serious treatment adverse effects will be considered for other interventional treatment modalities.

In the responders groups, factors predicting the success of treatment will be determined, participants will be followed for the duration of medical treatment which is specified to be 3 months",PHASE4,182
NCT04160936,The Efficacy of Peritubal Analgesic Infiltration in Postoperative Pain Following Percutaneous Nephrolithotomy,COMPLETED,The investigators aim to investigate the effect of peritubal local anesthetic infiltration on pain scores and analgesic consumption in patients who underwent percutaneous nephrolithotomy.,NO,Renal Stone,DRUG: Marcaine Injectable Product,"visual analogue scale (VAS ), Visual Analogue Scale (VAS), the patient is asked to describe the level of pain on a visual scale at rest at 1, 4, 8, 12, 24, and 48 hours, 1, 4, 8, 12, 24, and 48 hours|Dynamic Visual Analogue Scale (DVAS), Dynamic Visual Analogue Scale (DVAS), the patient is asked to describe the level of pain on a visual scale during breathing at 1, 4, 8, 12, 24, and 48 hours, 1 hour, 4 hours, 8 hours, 12 hours, 24 hours, and 48 hours","The time for the first opioid demand, first post op time for analgesia, 48 hours|the number of opioid demands, total number of opioid given to the patient, 48 hours|total opioid consumption, total amount of opioid consumption, 48 hours",NA,50
NCT06111885,Indapamide and Chlorthalidone to Reduce Urine Supersaturation for Kidney Stone Prevention,RECRUITING,The aim of this study is to test the efficacy of the two long-acting thiazide-like diuretics indapamide and chlorthalidone in reducing urine supersaturation for calcium oxalate and calcium phosphate compared to the short-acting thiazide diuretic hydrochlorothiazide for the prevention of calcium-containing kidney stones.,NO,Kidney Stone,DRUG: Indapamide 2.5 MG|DRUG: Hydrochlorothiazide 50Mg|DRUG: Chlorthalidone 25mg,"Primary outcome component 1 - calcium oxalate supersaturation in urine, The trial has two primary outcomes that will be assessed separately.

Change from baseline urine calcium oxalate supersaturation to end of treatment.

Calcium oxalate supersaturation will be calculated by the Equil2 program., Calcium oxalate supersaturation will be determined at day 28 of each active treatment phase|Primary outcome component 2 - calcium phosphate supersaturation in urine, The trial has two primary outcomes that will be assessed separately.

Change from baseline urine calcium phosphate supersaturation to end of treatment.

Calcium phosphate supersaturation will be calculated by the Equil2 program., Calcium phosphate supersaturation will be determined at day 28 of each active treatment phase","Blood sodium level change from baseline, Sodium level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood potassium level change from baseline, Potassium level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood chloride level change from baseline, Chloride level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood calcium level change from baseline, Calcium level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood magnesium level change from baseline, Magnesium level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood phosphate level change from baseline, Phosphate level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Venous bicarbonate level change from baseline, Venous bicarbonate level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Venous pH change from baseline, Venous pH measured in pH units, Data collected at baseline and at day 28 of each active treatment phase|Venous pCO2 change from baseline, Venous pCO2 measured in mmHg, Data collected at baseline and at day 28 of each active treatment phase|Blood glucose level change from baseline, Glucose level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood creatinine level change from baseline, Creatinine level measured in μmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood urea level change from baseline, Urea level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood uric acid level change from baseline, Uric acid level measured in μmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood albumin level change from baseline, Albumin level measured in g/l, Data collected at baseline and at day 28 of each active treatment phase|Blood total cholesterol level change from baseline, Total cholesterol level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood HDL cholesterol level change from baseline, HDL cholesterol level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood LDL cholesterol level change from baseline, LDL cholesterol level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood triglyceride level change from baseline, Triglycerides level measured in mmol/l, Data collected at baseline and at day 28 of each active treatment phase|Blood haemoglobin A1c level change from baseline, Haemoglobin A1c activity level measured in mU/l, Data collected at baseline and at day 28 of each active treatment phase|Urine sodium excretion change from baseline, Urine sodium excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine potassium excretion change from baseline, Urine potassium excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine chloride excretion change from baseline, Urine chloride excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine calcium excretion change from baseline, Urine calcium excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine phosphate excretion change from baseline, Urine phosphate excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine magnesium excretion change from baseline, Urine magnesium excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine urea excretion change from baseline, Urine urea excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine creatinine excretion change from baseline, Urine creatinine excretion measured in μmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine uric acid excretion change from baseline, Urine uric acid excretion measured in μmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine citrate excretion change from baseline, Urine citrate excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine sulfate excretion change from baseline, Urine sulfate excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine oxalate excretion change from baseline, Urine oxalate excretion measured in μmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine ammonium excretion change from baseline, Urine ammonium excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine bicarbonate excretion change from baseline, Urine bicarbonate excretion measured in mmol/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine titratable acidity excretion change from baseline, Urine titratable acidity excretion measured in mEq/24 h, Data collected at baseline and at day 28 of each active treatment phase|Urine pH change from baseline, pH measured in pH units, Data collected at baseline and at day 28 of each active treatment phase",PHASE2,99
NCT03828175,Basic Hemodynamic Monitoring Reliability During Percutaneous Nephrolithotomy.,COMPLETED,"This prospective pre and post-quasi-descriptive single group interventional study will be done at urology and nephrology center -Mansoura University during the year 2019, for a 3-month duration, starting 1-2-2019 till 1-4-2019 after approval of IRB (Institutional Review Board) code no R/18.03.103 on 5/5/2018, Mansoura Faculty of Medicine. correlating Basic hemodynamics with noninvasive cardiac output for diagnostic reliability during percutaneous nephrolithotomy hidden bleeding under spinal anesthesia",NO,Renal Stone,PROCEDURE: spinal anesthesia monitoring,"Stroke volume index (SVI), continuous stroke volume index (stroke volume divided by the body weight) during prone position spinal anesthesia, up to 120 minutes.",,NA,40
NCT06932146,A Phase 2a Study of LLX-424 in Patients With a History of Kidney Stones,COMPLETED,This is a Phase 2a study of glycolate oxidase inhibitor LLX-424 in patients with a history of kidney stones. Eligible subjects with a history of kidney stones will be randomized to receive study drug (LLX-424 or placebo) for 8 weeks.,NO,Kidney Stones,DRUG: LLX-424,"Treatment-emergent adverse events (TEAEs), Percentage of subjects with TEAEs, From the first dose and for up to 9 weeks|Percentage of subjects with study drug-related severe laboratory-based AEs, Laboratory-based adverse events, From the first dose and for up to 9 weeks|QT interval on ECG, Percentage of subjects with an increase from baseline in the QTcF by \> 60 milliseconds, From the first dose and for up to 9 weeks","Mean change from baseline in 24-hour urine oxalate excretion rate, Comparison between LLX-424 group and the placebo group, From pre-dose to Study Day 56|Peak plasma concentration (Cmax) of LLX-424, Cmax of plasma LLX-424, From pre-dose to Study Day 56|Area under the curve (AUC) of plasma LLX-424 concentration versus time after dosage, AUC of plasma LLX-424, From pre-dose to Study Day 56|Peak plasma concentration (Cmax) of glycolate, Cmax of plasma glycolate, From pre-dose to Study Day 56|Area under the curve (AUC) of plasma glycolate concentration versus time after dosage, AUC of plasma glycolate, From pre-dose to Study Day 56",PHASE2,51
NCT06689683,Fluoroscopy Activation Interval in SWL,COMPLETED,"Shock wave lithotripsy (SWL) is a noninvasive method widely used as the first step in treating stone disease. This study aimed to reduce radiation exposure to patients and practitioners during SWL sessions by extending the intervals of fluoroscopy controls. The main questions it aims to answer are:

* Will radiation exposure be reduced?
* Will the stone-free status be affected? The researchers will compare the fluoroscopic control intervals of 250 shocks and 500 shocks.

Participants will:

* Take to a maximum of 3 sessions.
* Check once a week
* Group 1 was fluoroscopically monitored every 250 shocks, and Group 2 was fluoroscopically monitored every 500 shocks",NO,Kidney Calculi,DEVICE: Shock wave lithotripsy,"evaluate The effect of two different fluoroscopic activation intervals on the stone-free rate., Session intervals were determined as one week, and patients with residues visible on the KUB radiography before the session were included in the new session. At the end of the treatment, direct radiography and ultrasound of the urinary system was performed at the end of the first month. Patients with stones larger than 4 mm were considered to have had an unsuccessful treatment., 1 month after the end of treatment","Secondary endpoints were total fluoroscopy time and complications., The total fluoroscopy time (seconds) during treatment will be calculated., From registration until the 1st month after the end of treatment.|Secondary endpoints were complications., Complications occurring from the beginning of treatment to the end of treatment, such as additional intervention, pyelonephritis, steinstrausse., From registration until the 1st month after the end of treatment.",NA,158
NCT01226875,Narrow Versus Wide Focal Zones for Shock Wave Lithotripsy of Renal Calculi,COMPLETED,"Shockwave lithotripsy (SWL) is a safe, non-invasive treatment for renal calculi. During SWL energy is focused on in order to break kidney stones and this energy can be varied in size from a narrow (or small) focal zone to a wide (or large) focal zone. This is a multi-centered, randomized study comparing the single treatment success rates of narrow and wide focal zones during SWL.",NO,Kidney Stones,PROCEDURE: SWL: Shock Wave Lithotripsy Intervention,"SWL efficiency quotient comparison between narrow focus vs wide focus, Comparison of single-treatment lithotripsy success rates at 2 and 12 weeks post-lithotripsy. Successful treatment will be defined as either stone-free status or presence of clinically insignificant asymptomatic residual fragments ≤ 4 mm. SWL efficiency quotient for the treatment groups, as calculated by the standardized formula: % stone-free divided by (100 + % re-treated + % auxiliary procedures)., 2 and 12 weeks","Incidence of perirenal hematomas, Comparing the narrow and wide foci for the presence of perirenal hematomas post treatment on ultrasound., post treatment|Biomarkers for renal injury, Comparisons of urinary markers for identifying renal injury, day 0; day 1; 1 week|Time to stone passage, Time it took to pass the stone for both arms will be compared for the 3 month follow up time., 12 weeks|Pain will be compared between narrow vs wide focus arms, Visual analog pain scores will be compared between arms., day 0 (post treatment)|Complication rates, Complication rates will be compared between narrow and wide focus treatment arms., 12 weeks",NA,275
NCT03046888,ROBOTIC PYELOLITHIOTOMY VERSUS PERCUTANEOUS NEPHROLITHOTOMY (PCNL).,COMPLETED,"Prospectively randomized study in patients with renal pelvic stones who are candidate to standard PCNL procedure. One to one, controlled clinical trial. Patients will be randomly allocated into two groups, 20 patients in each group. Group A will be scheduled to receive routine standard PCNL. Group B will be scheduled to receive Robot assisted pyelolethotomy.",NO,Renal Stone,PROCEDURE: Robot assisted pyelolithotomy,"Postoperative hospital stay, the length of hospital stay efter each procedure, 30 days","Stones free rate, 6 months",NA,40
NCT01443702,Use of Lapis Judaicus to Dissolve Kidney Stones,COMPLETED,"The investigators will investigate the safety and effectiveness of an Iranian traditional medicine regarding its ability to dissolve existing kidney stones. Calcium stone formers will be recruited for a 12 week trial. Each subject will receive Lapis judaicus or placebo in random order. End points are changes in urinary chemistries and stone burden by Ultra sonography / CT scan.

It will be used in proven calcium stone forming adults who are not pregnant. This phase is a double blind, randomized, placebo controlled Entry, first and 12 week 24 hour urine supersaturations, pH and sodium determinations will be collected. Entry and final stone quantification Ultra sonography / CT scan will be performed. End points will be changes in urine chemistry/supersaturation and stone quantitative stone volume.",NO,Kidney Calculi,DRUG: Lapis Judaicus|DRUG: Placebo,"Stone size after 12 weeks, 24 hour urine chemistries 24 hour urine supersaturation Stone quantification CT, 8 weeks and 12 weeks",,PHASE1|PHASE2,60
NCT05911945,Failed Insertion of Ureteral Access Sheath During Flexible Ureterorenoscopy,COMPLETED,"Percutaneous nephrolithotomy (PNL) is the gold standard recommended treatment technique for kidney stones larger than 20 mm. For kidney stones between 10 - 20 mm, both shock wave lithotripsy (SWL) or flexible ureterorenoscopy (f-URS) are recommended as the first choice of treatment and PNL is recommended as the second. In patients who are planned to undergo f-URS, a ureteral access sheath (UAS) is placed in the ureter at the beginning of the operation in order to provide a better image, reduce intra-renal pressure, easier stone fragment retrieval and shorter operative time. In certain cases, such as ureteral stricture, kink or edema, the ureteral access sheath may not be able to successfully inserted into the ureter. At this stage, double-J (JJ) stent can be inserted into the ureter to create passive dilatation, and a second f-URS session can be scheduled a few weeks later. Another option is to perform PNL operation to the patient in the same session. In this randomized prospective study, we aimed to compare these two different surgical approaches in terms of patient comfort and surgical success in patients with kidney stones between 10 - 20 mm in which access sheath insertion was failed in the initial f-URS session.",NO,Kidney Calculi,PROCEDURE: Flexible Ureterorenoscopy|PROCEDURE: Mini Percutaneous Nephrolithotomy,"Short Form-36 parameters, In order to evaluate the quality of life of the patients, pre- and postoperative SF-36 form values will be compared., Before surgery - 1 month after surgery","The success of the surgery, Stone-free rates of the patients will be evaluated by computed tomography after surgery., Before surgery - 1 month after surgery",NA,48
